acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.14,0.24,1.01,-3.40,4.32,0.81
0.14,0.23,1.00,-3.19,4.26,0.72
0.14,0.23,0.99,-2.61,4.24,0.81
0.14,0.23,1.00,-2.08,4.18,0.56
0.14,0.22,1.00,-1.60,4.02,0.37
0.13,0.22,1.01,-1.45,3.37,0.29
0.13,0.23,1.01,-1.47,3.01,-0.35
0.13,0.23,1.02,-1.66,2.27,-0.37
0.13,0.23,1.02,-1.85,1.79,-0.44
0.13,0.23,1.01,-2.14,1.98,-0.40
0.13,0.23,1.01,-2.02,2.37,-0.46
0.14,0.23,1.01,-2.11,3.05,-0.29
0.14,0.22,1.00,-2.24,3.50,-0.46
0.14,0.22,1.00,-2.11,3.54,-0.40
0.14,0.22,1.00,-2.15,3.95,-0.02
0.14,0.22,1.00,-2.21,3.95,0.24
0.13,0.21,1.01,-1.98,3.63,0.27
0.14,0.22,1.01,-2.12,3.21,0.15
0.13,0.22,1.01,-2.00,2.95,0.17
0.13,0.21,0.99,-2.02,2.75,0.29
0.13,0.21,1.00,-1.89,2.60,0.03
0.13,0.22,1.00,-1.76,2.73,-0.05
0.13,0.22,0.99,-1.51,3.02,-0.14
0.14,0.22,1.00,-1.69,3.19,-0.52
0.12,0.22,1.00,-1.73,3.22,-0.43
0.13,0.22,1.01,-1.66,3.36,-0.47
0.13,0.23,1.00,-1.77,3.47,-0.29
0.13,0.23,1.00,-2.14,3.60,-0.12
0.13,0.23,1.01,-2.17,3.86,-0.05
0.13,0.22,1.01,-1.88,3.97,0.09
0.13,0.23,1.00,-1.79,4.15,-0.03
0.13,0.22,1.00,-1.63,4.37,-0.12
0.13,0.22,1.00,-1.18,4.24,0.00
0.13,0.22,1.01,-1.33,4.17,-0.11
0.13,0.22,1.00,-1.19,4.05,0.02
0.14,0.22,1.01,-1.22,3.92,-0.18
0.14,0.22,1.01,-1.37,3.73,-0.23
0.13,0.22,1.01,-1.59,4.11,-0.09
0.14,0.23,1.01,-1.18,3.50,-0.11
0.13,0.23,1.01,-1.45,3.89,-0.29
0.13,0.22,1.00,-1.40,3.85,-0.29
0.13,0.23,1.01,-1.31,4.02,-0.31
0.14,0.23,1.00,-1.50,4.08,-0.58
0.13,0.23,1.01,-1.53,3.94,-0.60
0.13,0.23,1.01,-1.63,4.05,-0.90
0.13,0.22,1.01,-1.57,3.95,-1.18
