acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.10,0.20,1.01,-3.01,2.87,-0.82
0.09,0.19,1.01,-2.95,2.70,-0.84
0.09,0.20,1.01,-2.53,2.92,-0.85
0.09,0.19,1.00,-2.23,2.79,-1.10
0.09,0.19,1.01,-2.09,2.55,-1.16
0.10,0.19,1.01,-2.15,2.72,-1.21
0.10,0.19,1.00,-2.08,2.49,-1.07
0.09,0.19,1.01,-2.23,2.46,-1.16
0.09,0.19,1.00,-2.40,2.72,-1.04
0.09,0.18,1.01,-2.35,2.66,-0.92
0.09,0.18,1.02,-2.38,2.69,-0.79
0.09,0.19,1.02,-2.84,2.55,-0.61
0.10,0.19,1.01,-2.96,2.63,-0.66
0.10,0.20,1.01,-3.07,2.92,-0.41
0.09,0.19,1.02,-3.15,3.01,-0.31
0.09,0.19,1.01,-2.81,3.31,-0.31
0.09,0.19,1.01,-2.58,3.07,-0.24
0.10,0.19,1.01,-2.63,3.18,-0.29
0.09,0.18,1.00,-2.17,3.18,-0.40
0.09,0.18,1.00,-2.21,3.16,-0.18
0.09,0.18,1.00,-2.11,2.82,-0.35
0.09,0.18,1.01,-2.15,2.67,-0.18
0.09,0.18,1.02,-2.34,2.66,-0.08
0.09,0.19,1.01,-2.58,2.32,-0.08
0.09,0.19,1.02,-2.73,2.49,-0.12
0.09,0.19,1.02,-2.67,2.60,-0.20
0.09,0.19,1.01,-2.92,2.72,-0.09
0.09,0.19,1.01,-2.58,2.84,0.02
0.10,0.18,1.01,-2.79,3.04,0.02
0.10,0.18,1.00,-2.81,3.13,0.00
0.10,0.19,1.00,-2.84,3.01,0.14
0.09,0.19,1.01,-2.72,2.85,-0.05
0.09,0.20,1.01,-2.69,2.50,-0.11
0.09,0.20,1.01,-2.79,2.41,-0.20
0.10,0.20,1.02,-2.85,2.15,-0.20
0.09,0.19,1.02,-2.99,2.15,-0.12
0.10,0.20,1.01,-2.72,2.09,-0.18
