acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.13,0.24,1.00,-2.29,2.35,-1.54
0.14,0.24,1.00,-2.17,2.41,-1.36
0.13,0.24,1.01,-2.11,2.31,-1.15
0.13,0.23,1.01,-1.95,2.60,-0.79
0.14,0.23,1.00,-1.79,2.92,-0.60
0.13,0.23,0.99,-1.86,2.81,-0.70
0.13,0.23,1.00,-1.97,2.95,-0.64
0.13,0.23,1.00,-1.89,2.90,-0.61
0.13,0.23,1.00,-2.00,2.95,-0.85
0.13,0.22,1.00,-2.08,2.81,-1.02
0.12,0.23,1.00,-2.03,2.82,-1.10
0.13,0.23,1.00,-1.97,2.66,-1.18
0.12,0.23,1.00,-1.73,2.73,-1.47
0.13,0.24,1.00,-1.44,2.93,-1.50
0.12,0.23,0.99,-1.66,2.85,-1.42
0.12,0.23,1.00,-1.44,2.82,-1.39
0.12,0.23,1.01,-1.40,3.02,-1.30
0.13,0.24,1.00,-1.48,3.18,-1.45
0.12,0.23,1.00,-1.56,3.08,-1.51
0.12,0.23,1.00,-1.74,3.27,-1.13
0.12,0.23,1.01,-1.73,3.45,-1.34
0.12,0.23,1.00,-1.66,3.60,-1.39
0.13,0.23,1.02,-1.76,3.36,-1.33
0.12,0.23,1.00,-1.85,3.48,-1.42
0.12,0.23,1.01,-1.89,3.21,-1.34
0.12,0.24,1.00,-1.95,2.93,-1.16
0.13,0.23,1.00,-1.74,2.93,-1.31
0.12,0.23,1.01,-1.68,2.98,-1.33
0.12,0.23,1.00,-1.63,3.24,-1.10
0.12,0.24,1.00,-1.74,2.93,-1.07
0.12,0.24,1.01,-1.83,2.87,-0.90
0.13,0.24,1.00,-1.80,3.07,-1.01
0.12,0.23,1.01,-1.79,2.99,-1.05
0.12,0.24,1.00,-1.77,2.96,-1.01
0.12,0.24,1.00,-2.03,2.84,-0.96
0.12,0.23,1.00,-2.02,3.01,-0.60
0.12,0.23,1.00,-2.00,2.84,-0.93
0.12,0.23,1.01,-2.09,2.87,-0.76
0.12,0.23,1.00,-2.05,2.95,-1.04
0.13,0.23,1.00,-2.20,2.93,-0.99
0.12,0.24,1.01,-2.29,3.05,-1.22
0.12,0.23,1.00,-2.23,2.69,-1.16
0.13,0.24,1.01,-2.29,2.75,-1.40
0.13,0.23,1.00,-2.35,2.60,-1.34
0.12,0.24,1.01,-2.31,2.58,-1.31
0.13,0.23,1.00,-2.43,2.52,-1.31
0.12,0.23,1.00,-2.37,2.56,-1.33
0.12,0.23,1.00,-2.29,2.46,-1.37
0.13,0.23,1.01,-2.43,2.50,-1.37
0.12,0.23,1.01,-2.15,2.26,-1.45
0.12,0.24,1.01,-2.29,2.17,-1.48
0.13,0.23,1.01,-2.15,2.35,-1.62
0.13,0.23,1.00,-2.15,2.40,-1.28
0.12,0.23,1.00,-2.31,2.50,-1.40
0.12,0.23,1.01,-2.21,2.52,-1.47
0.12,0.23,1.00,-2.41,2.50,-1.21
0.12,0.23,1.00,-2.37,2.52,-1.01
0.12,0.23,1.00,-2.24,2.60,-0.96
0.12,0.23,1.00,-2.55,2.44,-0.85
0.12,0.24,1.00,-2.41,2.44,-0.84
0.12,0.24,1.01,-2.31,2.38,-0.72
0.12,0.23,1.00,-2.50,2.52,-0.63
0.13,0.23,1.00,-2.61,2.60,-0.56
0.12,0.23,1.01,-2.32,2.50,-0.69
0.12,0.23,1.00,-2.40,2.66,-0.60
0.13,0.23,1.00,-2.34,2.69,-0.50
0.12,0.23,1.01,-2.32,2.60,-0.47
0.12,0.24,1.00,-2.24,2.64,-0.43
0.12,0.23,1.00,-2.17,2.79,-0.44
0.12,0.23,1.00,-2.15,2.53,-0.24
0.12,0.23,1.00,-2.03,2.40,-0.27
0.12,0.23,1.00,-2.12,2.58,-0.29
0.13,0.23,1.01,-2.08,2.58,-0.11
0.13,0.23,1.01,-2.27,2.46,-0.12
0.12,0.24,1.00,-2.31,2.52,0.05
0.13,0.23,1.00,-2.41,2.40,0.02
0.13,0.23,1.00,-2.23,2.70,0.21
0.12,0.24,1.01,-2.31,2.63,0.02
0.13,0.24,1.00,-1.92,2.82,0.06
0.13,0.23,1.00,-2.31,2.69,0.11
0.13,0.23,1.01,-2.24,2.63,0.20
0.12,0.23,1.01,-2.29,2.79,0.26
0.13,0.24,1.01,-2.46,2.67,0.12
0.12,0.23,1.00,-2.47,2.60,0.27
0.13,0.23,1.00,-2.40,2.72,0.02
0.13,0.23,1.00,-2.31,2.37,0.15
0.12,0.23,1.00,-2.34,2.75,-0.20
0.13,0.24,1.00,-2.40,2.61,-0.20
0.12,0.23,1.01,-2.50,2.82,-0.18
0.13,0.23,1.00,-2.34,2.73,-0.29
0.12,0.23,1.01,-2.55,2.61,-0.40
0.12,0.24,1.00,-2.29,2.64,-0.34
0.12,0.23,1.01,-2.52,2.79,-0.50
0.12,0.23,1.00,-2.47,2.60,-0.37
0.12,0.23,1.01,-2.58,2.76,-0.60
0.13,0.23,1.00,-2.63,2.81,-0.55
0.13,0.23,1.01,-2.47,2.72,-0.69
0.13,0.23,1.01,-2.32,3.10,-0.53
0.12,0.23,1.00,-2.15,2.82,-0.63
0.13,0.23,1.00,-2.21,3.36,-0.72
0.13,0.23,1.01,-2.55,3.01,-0.87
0.13,0.22,1.01,-2.73,3.02,-0.66
0.13,0.23,1.01,-2.50,2.98,-0.63
0.13,0.23,1.00,-2.49,3.15,-0.70
0.12,0.23,1.00,-2.34,2.93,-0.75
0.13,0.24,1.00,-2.29,2.96,-0.89
0.13,0.23,1.01,-1.95,2.84,-0.99
0.13,0.23,1.01,-2.05,2.79,-1.02
0.13,0.23,1.01,-2.15,2.73,-1.18
0.13,0.23,1.01,-2.15,2.61,-0.93
0.12,0.24,0.99,-2.18,2.41,-1.07
0.13,0.24,1.01,-2.11,2.44,-1.15
0.12,0.23,1.01,-2.56,2.41,-0.93
0.12,0.23,1.00,-2.34,2.50,-1.11
0.12,0.22,1.00,-2.56,2.20,-1.27
0.12,0.24,1.00,-2.43,2.27,-1.54
0.12,0.22,1.02,-2.55,2.38,-1.36
0.12,0.23,1.01,-2.43,2.02,-1.51
0.13,0.24,1.01,-2.47,2.15,-1.28
0.14,0.23,1.00,-2.49,2.17,-1.11
0.13,0.23,1.00,-2.23,2.47,-0.84
0.13,0.24,1.00,-2.26,2.50,-0.27
0.13,0.23,0.99,-2.17,2.58,0.09
0.12,0.23,1.00,-1.95,2.84,0.43
0.12,0.23,1.00,-1.77,2.87,0.47
0.12,0.22,1.00,-1.76,2.93,0.44
0.12,0.23,1.00,-1.62,2.72,0.56
0.12,0.23,1.01,-1.85,2.49,0.21
0.13,0.23,1.00,-2.03,2.67,-0.11
0.13,0.23,1.01,-2.37,2.46,-0.26
0.12,0.23,1.01,-2.09,2.40,-0.21
0.13,0.23,1.01,-2.32,2.34,0.08
0.11,0.23,1.00,-2.44,2.44,0.06
0.12,0.23,1.01,-2.47,2.52,0.40
0.11,0.23,1.01,-2.60,2.85,0.26
0.11,0.23,1.00,-2.44,2.79,0.27
0.12,0.24,1.00,-2.29,3.13,-0.27
0.11,0.24,1.01,-2.24,3.16,-0.47
0.12,0.23,1.01,-2.34,3.18,-0.98
0.12,0.24,1.01,-2.27,3.16,-1.48
0.13,0.23,1.00,-2.72,3.04,-1.86
0.13,0.23,1.00,-2.47,2.81,-2.26
0.13,0.23,1.00,-2.38,2.43,-1.95
0.13,0.23,1.01,-2.60,2.49,-1.94
0.14,0.23,1.00,-2.60,2.31,-1.44
0.14,0.22,1.00,-2.37,2.55,-1.18
0.14,0.22,1.01,-2.15,2.89,-0.52
0.14,0.23,1.00,-1.65,3.21,-0.27
0.14,0.23,1.00,-1.53,3.79,0.27
0.13,0.23,1.00,-1.53,3.80,0.50
0.13,0.22,1.01,-1.76,3.50,0.60
0.12,0.22,1.01,-1.79,3.54,0.53
0.13,0.22,1.02,-1.89,3.18,0.41
0.13,0.23,1.00,-1.80,3.07,0.18
0.12,0.22,1.01,-2.02,2.70,-0.14
0.11,0.22,1.00,-1.79,2.40,-0.32
0.12,0.23,1.00,-1.74,2.24,-0.70
0.12,0.23,1.01,-1.53,2.41,-0.76
0.12,0.22,1.01,-1.60,2.44,-0.75
0.12,0.23,1.01,-1.65,2.47,-0.73
0.12,0.23,1.01,-1.77,2.35,-0.69
0.12,0.24,1.01,-1.91,2.40,-0.70
0.13,0.23,1.01,-2.09,2.75,-0.50
0.12,0.24,1.00,-2.24,2.73,-0.29
0.12,0.23,1.00,-2.58,2.32,-0.20
0.13,0.24,1.01,-2.44,2.17,0.00
0.12,0.23,1.01,-2.21,2.14,0.15
0.13,0.23,1.00,-2.21,2.17,0.23
0.12,0.23,1.00,-2.11,2.14,0.26
0.12,0.23,0.99,-2.12,2.14,0.00
0.14,0.23,1.00,-1.83,1.76,0.17
0.12,0.24,1.00,-1.86,1.86,0.09
0.13,0.23,1.00,-1.59,1.47,-0.08
0.12,0.22,1.00,-1.54,1.48,0.20
0.12,0.23,1.00,-1.69,1.31,0.11
0.12,0.23,1.00,-1.54,1.66,0.34
0.13,0.23,1.00,-1.68,1.48,0.20
0.12,0.23,1.01,-1.74,1.71,0.26
0.13,0.23,1.00,-1.65,1.95,0.49
0.13,0.23,1.00,-1.77,2.06,0.40
0.13,0.23,1.00,-1.77,2.00,0.40
0.13,0.23,1.00,-1.80,2.27,0.41
0.13,0.24,1.00,-1.89,2.26,0.26
0.13,0.23,1.00,-1.79,2.20,0.24
0.13,0.23,1.01,-1.56,2.20,0.23
0.13,0.23,1.00,-1.33,2.50,0.14
0.13,0.23,1.00,-1.13,2.46,-0.20
0.13,0.23,1.00,-1.45,2.52,-0.23
0.13,0.23,1.00,-1.37,2.50,-0.40
0.13,0.23,1.00,-1.51,2.35,-0.46
0.13,0.23,1.01,-1.77,2.37,-0.50
0.13,0.22,1.00,-1.79,1.97,-0.70
0.13,0.23,1.00,-1.66,1.98,-0.60
0.13,0.22,1.00,-1.57,1.71,-0.90
0.13,0.23,1.00,-1.56,1.73,-0.84
0.13,0.23,1.01,-1.48,1.57,-1.11
0.13,0.23,1.00,-1.56,2.06,-0.96
0.13,0.23,0.99,-1.40,2.17,-1.04
0.13,0.23,1.00,-1.76,2.29,-0.79
0.14,0.23,1.00,-1.85,2.58,-0.87
0.14,0.23,1.01,-2.08,2.66,-0.93
0.13,0.23,1.00,-2.21,2.84,-0.64
0.13,0.23,1.01,-1.89,2.82,-0.53
0.13,0.23,1.01,-1.94,2.98,-0.60
0.13,0.23,1.01,-1.91,2.79,-0.58
0.13,0.23,1.00,-1.97,2.67,-0.58
0.13,0.23,1.01,-1.69,2.43,-0.53
0.14,0.23,1.01,-1.39,2.63,-0.55
0.13,0.23,1.01,-1.31,2.63,-0.27
0.13,0.23,1.01,-1.34,2.87,-0.21
0.12,0.23,1.01,-1.54,2.73,-0.23
0.12,0.23,1.01,-1.74,2.72,-0.24
0.12,0.24,1.01,-1.76,2.70,-0.29
0.13,0.24,1.01,-1.76,2.79,-0.49
0.12,0.24,1.01,-2.20,2.72,-0.84
0.12,0.23,1.01,-1.98,2.96,-1.19
0.12,0.23,1.00,-2.02,2.79,-1.39
0.12,0.24,1.00,-1.80,2.87,-1.56
0.13,0.23,1.00,-2.06,2.52,-1.89
0.13,0.23,1.01,-2.08,2.34,-2.06
0.13,0.24,1.01,-2.08,2.21,-1.92
0.14,0.24,1.00,-2.05,2.23,-1.60
0.13,0.23,1.00,-2.17,2.15,-1.24
0.14,0.23,1.00,-2.20,2.29,-1.01
0.13,0.24,1.00,-1.86,2.52,-0.61
0.13,0.23,1.00,-1.80,2.84,-0.27
0.13,0.23,1.00,-2.00,2.72,-0.20
0.13,0.23,0.99,-1.86,2.78,0.05
0.13,0.23,1.00,-2.08,2.55,-0.24
0.13,0.24,0.99,-1.85,2.52,-0.34
0.12,0.23,1.01,-2.02,2.72,-0.56
0.13,0.23,1.01,-2.14,2.24,-0.90
0.12,0.23,1.00,-1.83,2.31,-1.18
0.12,0.23,1.01,-2.09,1.98,-1.22
0.12,0.23,1.01,-2.03,2.44,-1.47
0.12,0.23,1.00,-1.86,2.43,-1.24
0.13,0.23,1.00,-2.00,2.66,-0.99
0.13,0.23,1.00,-2.02,2.82,-0.98
0.13,0.23,1.01,-2.08,3.01,-0.69
0.13,0.23,1.00,-2.02,3.07,-0.58
0.13,0.23,1.00,-2.27,3.27,-0.52
0.12,0.23,1.00,-2.32,3.39,-0.38
0.12,0.22,1.00,-2.05,3.15,-0.31
0.13,0.23,1.00,-2.20,3.47,-0.44
0.12,0.23,1.00,-1.91,3.18,-0.61
0.13,0.23,1.00,-2.02,3.18,-0.44
0.13,0.23,1.00,-2.08,3.04,-0.61
0.13,0.24,1.00,-1.97,3.11,-0.56
0.12,0.23,1.01,-1.56,2.87,-0.96
0.13,0.24,1.00,-1.85,2.85,-0.96
0.13,0.23,1.00,-1.51,2.81,-0.89
0.13,0.23,1.01,-1.34,2.89,-1.02
0.12,0.23,1.01,-1.51,2.75,-1.04
0.13,0.24,1.01,-1.39,2.85,-0.99
0.13,0.23,1.01,-1.56,3.11,-1.01
0.12,0.24,1.00,-1.68,3.02,-0.98
0.13,0.23,1.00,-1.59,3.18,-0.93
0.14,0.24,0.99,-1.82,3.16,-0.89
0.13,0.23,1.01,-1.79,3.07,-0.93
0.13,0.23,1.01,-1.86,2.87,-0.95
0.12,0.23,1.00,-1.82,3.13,-0.99
0.12,0.22,1.00,-1.65,3.05,-0.99
0.12,0.23,1.00,-1.74,2.85,-1.05
0.12,0.23,1.00,-1.65,3.02,-0.98
0.13,0.23,0.99,-1.30,2.96,-0.92
0.13,0.23,0.99,-1.50,2.87,-0.99
0.13,0.23,1.00,-1.50,2.84,-0.76
0.13,0.23,1.01,-1.63,2.67,-0.96
0.13,0.23,1.00,-1.76,2.78,-0.98
0.13,0.23,1.00,-1.54,2.63,-0.93
0.13,0.23,1.00,-1.56,2.73,-0.90
0.13,0.23,1.00,-1.56,2.72,-0.84
0.13,0.23,1.01,-1.73,2.79,-0.84
0.13,0.23,1.00,-1.80,2.76,-0.89
0.12,0.23,1.00,-1.71,2.47,-0.79
0.12,0.22,1.01,-1.79,2.72,-0.63
0.13,0.23,1.01,-1.85,2.79,-0.69
0.12,0.23,1.00,-1.97,2.89,-0.66
0.13,0.23,1.00,-2.11,3.15,-0.38
0.13,0.22,1.00,-2.11,2.84,-0.49
0.13,0.23,1.00,-2.06,2.78,-0.21
0.13,0.23,1.01,-2.08,2.93,-0.40
0.12,0.22,1.01,-1.79,2.95,-0.17
0.13,0.22,1.00,-1.94,3.04,-0.29
0.13,0.22,1.01,-2.05,2.89,-0.17
0.13,0.23,1.00,-2.11,2.96,-0.26
0.13,0.23,1.00,-1.94,2.96,-0.21
0.12,0.23,1.00,-2.12,3.01,0.05
0.12,0.23,1.00,-2.21,3.07,0.05
0.13,0.23,1.00,-2.21,2.99,0.31
0.13,0.23,1.00,-2.20,3.25,0.20
0.13,0.23,1.00,-2.27,3.21,0.27
0.13,0.23,1.00,-2.21,3.28,0.49
0.14,0.23,1.00,-2.11,3.25,0.38
0.13,0.23,1.01,-2.27,3.37,0.50
0.12,0.23,1.00,-2.49,3.31,0.75
0.12,0.23,1.01,-2.69,3.77,0.82
0.13,0.23,1.01,-2.73,3.47,0.72
0.13,0.24,1.00,-2.76,3.50,0.82
0.13,0.22,1.00,-3.05,3.77,1.24
0.13,0.23,1.00,-2.98,3.48,1.22
0.12,0.23,1.01,-3.01,3.79,0.99
0.12,0.23,1.01,-2.79,3.73,0.85
0.12,0.23,1.01,-2.75,3.62,0.26
0.12,0.24,1.01,-2.81,3.77,0.32
0.13,0.24,1.01,-2.66,3.54,0.17
0.13,0.23,1.01,-2.67,3.85,0.18
