acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.07,0.22,1.01,15.97,25.48,-3.11
0.07,0.22,1.01,15.65,25.88,-2.46
0.07,0.22,1.02,15.79,25.69,-2.92
0.08,0.23,1.00,15.95,25.83,-2.85
0.07,0.22,1.01,15.83,25.86,-2.78
0.08,0.22,1.01,15.76,25.59,-2.63
0.08,0.23,1.01,16.02,25.89,-2.56
0.08,0.23,1.01,15.66,25.54,-2.75
0.08,0.22,1.01,15.92,25.69,-2.75
0.09,0.22,1.01,15.94,25.76,-2.81
0.08,0.22,1.01,15.86,25.66,-2.87
0.09,0.21,1.02,16.06,25.77,-2.87
0.09,0.22,1.01,15.74,25.86,-2.85
0.09,0.21,1.01,15.88,25.83,-2.93
0.09,0.21,1.01,15.86,25.85,-2.87
0.09,0.22,1.01,15.83,25.73,-2.85
0.08,0.22,1.00,15.95,25.89,-2.69
0.08,0.22,1.01,16.03,25.53,-2.73
0.07,0.21,1.02,15.86,25.76,-2.73
0.07,0.21,1.00,16.15,25.69,-2.69
0.07,0.22,1.01,15.82,25.62,-2.67
0.07,0.22,1.01,15.79,25.66,-2.84
0.08,0.22,1.01,15.65,25.57,-2.67
0.08,0.22,1.02,15.94,25.60,-2.76
0.07,0.21,1.00,15.92,25.74,-2.73
0.08,0.21,1.00,15.74,25.89,-2.75
0.08,0.21,1.01,15.80,25.63,-2.95
0.08,0.21,1.01,15.97,25.76,-2.72
0.08,0.21,1.01,15.85,25.79,-2.89
0.08,0.21,1.00,15.86,25.66,-2.76
0.07,0.21,1.00,15.77,25.62,-2.82
0.08,0.21,1.01,15.76,25.85,-2.61
0.07,0.21,1.01,15.86,25.76,-2.75
0.07,0.21,0.99,15.85,25.79,-2.69
0.07,0.22,1.01,15.94,25.66,-2.67
0.07,0.21,1.00,16.05,25.79,-2.72
0.08,0.21,1.01,15.73,25.74,-2.85
0.07,0.22,1.00,15.71,25.88,-2.92
0.08,0.22,1.01,15.91,25.62,-2.85
0.07,0.21,1.01,15.88,25.65,-2.78
0.08,0.22,1.01,15.82,25.97,-2.98
0.08,0.22,1.01,15.79,25.80,-2.75
0.08,0.22,1.01,16.02,25.91,-2.90
0.08,0.22,1.01,15.85,25.62,-2.78
0.08,0.22,1.01,15.63,25.82,-2.93
0.08,0.22,1.01,15.83,25.82,-2.79
0.08,0.22,1.01,15.68,25.76,-2.53
0.08,0.22,1.00,15.74,25.77,-2.81
0.08,0.22,1.01,15.89,25.60,-2.75
0.08,0.21,1.00,16.09,25.79,-2.69
0.08,0.23,1.01,15.92,25.83,-2.58
0.08,0.22,1.00,15.77,25.71,-2.82
0.08,0.21,1.00,16.03,25.82,-2.90
0.07,0.22,1.01,15.86,25.65,-2.75
0.08,0.22,1.01,15.80,25.86,-2.81
0.08,0.22,1.00,15.98,25.73,-2.72
0.08,0.21,1.00,15.86,25.79,-2.99
0.07,0.22,1.01,15.89,25.73,-2.87
0.07,0.22,1.01,16.00,25.77,-2.56
0.08,0.21,1.01,15.68,25.63,-2.72
0.07,0.22,1.00,16.14,25.73,-2.64
0.08,0.22,1.01,15.97,25.48,-2.75
0.08,0.21,1.01,15.68,25.91,-2.84
