acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.12,0.20,1.01,-2.60,3.02,-1.51
0.12,0.20,1.01,-2.76,3.04,-1.33
0.12,0.20,1.01,-2.20,3.08,-1.37
0.11,0.20,1.01,-2.58,3.07,-1.24
0.12,0.20,1.01,-2.31,3.21,-1.21
0.12,0.20,1.01,-2.14,2.93,-1.36
0.12,0.20,1.03,-2.20,3.04,-1.27
0.11,0.20,1.02,-1.92,3.15,-1.48
0.12,0.19,1.01,-2.15,2.85,-1.25
0.12,0.20,1.02,-2.03,3.11,-1.33
0.12,0.20,1.01,-1.89,3.13,-1.33
0.11,0.20,1.01,-1.79,3.04,-1.51
0.11,0.20,1.02,-1.89,3.07,-1.56
0.11,0.20,1.01,-2.00,3.07,-1.39
0.11,0.20,1.01,-2.06,3.05,-1.18
0.11,0.20,1.01,-1.95,3.02,-1.18
0.11,0.20,1.01,-2.14,3.05,-1.44
0.12,0.20,1.03,-2.17,2.84,-1.28
0.12,0.20,1.02,-2.03,2.89,-1.36
0.11,0.20,1.03,-2.11,3.07,-1.27
0.11,0.20,1.01,-1.98,2.72,-1.36
0.11,0.21,1.01,-1.95,2.58,-1.31
0.12,0.20,1.02,-1.97,2.73,-1.33
0.11,0.20,1.01,-1.77,2.63,-1.25
0.11,0.20,1.01,-2.11,2.47,-1.27
0.12,0.20,1.01,-1.97,2.46,-1.40
0.12,0.21,1.02,-2.09,2.63,-1.30
0.12,0.20,1.02,-2.17,2.35,-1.15
0.11,0.20,1.01,-2.06,2.20,-1.18
0.11,0.20,1.02,-2.18,2.17,-1.08
0.12,0.21,1.02,-2.35,1.66,-1.19
0.12,0.20,1.01,-2.72,1.86,-1.08
0.12,0.20,1.02,-2.63,1.77,-1.05
0.12,0.20,1.01,-2.93,1.66,-1.05
0.11,0.20,1.02,-2.70,1.60,-0.76
0.11,0.21,1.02,-2.89,1.56,-0.49
0.11,0.20,1.02,-3.08,1.45,-0.02
0.11,0.19,1.02,-2.81,1.88,-0.27
0.11,0.20,1.01,-2.81,1.50,-0.37
0.11,0.20,1.01,-2.87,1.71,-0.35
0.12,0.19,1.01,-2.95,1.83,-0.56
0.11,0.20,1.01,-2.79,1.79,-0.56
0.11,0.20,1.01,-3.16,1.65,-0.75
0.11,0.19,1.01,-3.42,1.63,-0.95
0.12,0.20,1.01,-3.39,1.33,-0.60
0.11,0.20,1.01,-3.85,1.62,-0.56
0.11,0.20,1.01,-3.40,1.82,-0.05
0.12,0.19,1.01,-3.33,1.69,-0.09
0.12,0.20,1.01,-3.11,1.82,0.03
0.11,0.19,1.01,-2.89,2.03,0.20
0.11,0.20,1.00,-3.08,1.68,0.40
0.12,0.19,1.01,-2.79,1.92,0.43
0.12,0.20,1.00,-2.96,1.76,0.75
0.11,0.20,1.01,-3.11,1.97,0.63
0.11,0.20,1.01,-3.04,1.92,0.44
0.11,0.19,1.01,-3.04,2.02,0.70
0.12,0.20,1.01,-3.04,2.21,0.55
0.12,0.19,1.01,-2.81,2.24,0.58
0.12,0.20,1.01,-3.02,2.12,0.55
0.12,0.20,1.01,-2.61,2.18,0.60
0.11,0.20,1.00,-2.85,2.24,0.64
0.12,0.20,1.00,-2.61,2.31,0.53
0.12,0.19,1.01,-2.70,2.43,0.50
0.12,0.20,1.01,-2.58,2.29,0.31
0.12,0.20,1.01,-2.64,2.29,0.46
0.13,0.20,1.01,-2.47,2.37,0.24
0.12,0.20,1.01,-2.34,2.03,0.31
0.11,0.19,1.01,-2.67,2.21,0.31
0.12,0.19,1.01,-2.50,2.14,0.14
0.13,0.20,1.01,-2.64,2.14,0.05
0.12,0.19,1.02,-2.73,2.56,-0.05
0.12,0.20,1.01,-2.73,2.52,0.09
0.12,0.19,1.01,-2.44,2.55,0.05
0.12,0.20,1.02,-2.70,2.72,-0.08
0.12,0.20,1.02,-2.73,2.69,-0.24
0.12,0.20,1.02,-2.67,2.98,-0.29
0.12,0.19,1.02,-2.72,3.02,-0.29
0.12,0.20,1.01,-2.58,2.89,-0.53
0.11,0.19,1.02,-2.72,2.84,-0.47
0.12,0.19,1.01,-2.61,2.70,-1.02
0.12,0.19,1.01,-2.55,2.84,-0.87
0.12,0.19,1.02,-2.50,2.73,-1.18
0.12,0.20,1.01,-2.50,2.92,-1.25
0.12,0.19,1.01,-2.46,2.81,-1.28
0.12,0.19,1.01,-2.41,2.67,-1.19
0.12,0.19,1.02,-2.35,2.85,-1.13
0.12,0.19,1.01,-2.35,2.72,-0.98
0.12,0.20,1.01,-2.34,3.05,-1.22
0.12,0.19,1.02,-2.47,3.30,-0.99
0.12,0.19,1.02,-2.53,3.44,-1.08
0.12,0.19,1.01,-2.27,3.28,-1.16
0.12,0.19,1.02,-2.34,3.22,-1.05
0.12,0.19,1.02,-2.27,3.07,-0.81
0.11,0.19,1.02,-2.49,3.25,-0.90
0.12,0.20,1.02,-2.31,3.19,-0.87
0.12,0.20,1.02,-2.24,3.18,-0.99
0.11,0.21,1.01,-2.31,2.89,-0.79
0.12,0.19,1.01,-2.17,2.98,-0.72
0.11,0.20,1.02,-2.08,3.21,-0.95
0.12,0.20,1.01,-2.32,2.82,-1.04
0.12,0.19,1.01,-2.21,2.82,-0.92
0.12,0.20,1.01,-2.44,2.84,-1.11
0.11,0.20,1.01,-2.40,2.64,-1.16
0.11,0.20,1.02,-2.37,2.37,-1.28
0.12,0.19,1.02,-2.75,2.34,-1.37
0.12,0.19,1.01,-2.44,2.09,-1.47
0.12,0.19,1.02,-2.47,2.03,-1.80
0.12,0.19,1.02,-2.17,2.15,-1.51
0.13,0.19,1.01,-1.91,2.21,-1.31
0.13,0.19,1.01,-2.02,2.40,-1.34
0.13,0.20,1.02,-1.80,2.85,-0.76
0.12,0.20,1.01,-1.69,3.02,-0.53
0.12,0.20,1.01,-1.71,3.27,-0.12
0.12,0.19,1.01,-1.88,3.16,0.09
0.12,0.19,1.01,-1.97,2.98,0.27
0.12,0.19,1.01,-1.69,2.99,0.44
0.11,0.19,1.01,-1.76,2.70,0.40
0.11,0.19,1.01,-1.80,2.47,0.26
0.11,0.20,1.01,-1.57,2.02,-0.03
0.12,0.19,1.01,-1.33,2.03,-0.12
0.12,0.19,1.02,-1.22,1.88,-0.20
0.12,0.19,1.01,-0.99,1.79,0.02
0.11,0.20,1.02,-0.92,2.24,0.27
0.11,0.19,1.01,-0.76,2.37,0.50
0.11,0.20,1.01,-1.31,2.99,0.78
0.11,0.19,1.02,-1.77,3.40,0.76
0.11,0.20,1.02,-2.32,3.34,0.53
0.11,0.19,1.03,-2.53,3.44,0.24
0.12,0.19,1.01,-2.41,3.62,-0.21
0.11,0.20,1.02,-2.55,3.30,-0.82
0.12,0.21,1.01,-2.20,3.24,-1.27
0.12,0.20,1.01,-2.02,2.75,-1.66
0.13,0.20,1.02,-1.48,2.37,-1.83
0.12,0.20,1.02,-0.93,2.34,-2.11
0.14,0.20,1.02,-0.79,2.29,-2.00
0.14,0.19,1.02,-0.55,2.38,-1.85
0.14,0.19,1.02,-0.20,2.32,-1.34
0.14,0.19,1.01,-0.32,2.32,-0.92
0.14,0.19,1.01,-0.32,2.41,-0.43
0.13,0.19,1.02,-0.67,2.60,-0.09
0.13,0.19,1.01,-0.70,2.70,0.46
0.12,0.19,1.01,-0.81,2.61,0.27
0.11,0.19,1.01,-0.85,2.35,0.11
0.12,0.19,1.01,-0.96,2.78,0.14
0.11,0.19,1.01,-0.90,2.92,-0.15
0.11,0.18,1.02,-0.84,2.76,-0.35
0.12,0.20,1.01,-1.22,2.85,-0.60
0.11,0.19,1.02,-1.11,2.73,-0.79
0.11,0.20,1.01,-1.04,2.61,-0.81
0.12,0.19,1.02,-1.07,2.85,-0.89
0.11,0.20,1.02,-1.22,2.58,-0.64
0.12,0.20,1.01,-1.31,2.67,-0.41
0.11,0.20,1.02,-1.36,2.58,-0.34
0.12,0.20,1.02,-1.21,2.58,-0.34
