acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.44,0.88,0.4,0.24,0.89,32.48
0.02,0.44,0.89,0.5,0.34,1.15,32.48
0.02,0.44,0.88,0.5,0.12,0.78,32.53
0.01,0.43,0.88,0.53,-0.18,0.78,32.48
0.01,0.44,0.88,0.89,-0.14,0.82,32.48
0.01,0.43,0.89,0.99,0.24,1.05,32.53
0.02,0.43,0.88,0.75,0.41,1.13,32.39
0.02,0.43,0.88,0.46,0.52,1.15,32.44
0.01,0.44,0.89,0.75,0.37,1.34,32.53
0.01,0.44,0.88,0.79,0.31,1.42,32.48
0.02,0.44,0.88,0.82,0.35,1.3,32.58
0.01,0.43,0.88,0.9,0.31,0.99,32.44
0.01,0.43,0.87,0.79,0.56,0.87,32.58
0.01,0.44,0.88,0.53,0.7,1.4,32.44
0.02,0.43,0.88,0.52,1.02,1.39,32.53
0.01,0.44,0.89,0.69,1.02,1.24,32.58
0.01,0.44,0.88,0.41,0.69,0.72,32.53
0.01,0.44,0.88,0.21,0.24,0.47,32.58
0.01,0.44,0.88,0.27,0.17,0.12,32.48
0.02,0.44,0.88,0.18,0.35,0.23,32.44
0.01,0.44,0.88,-0.12,0.63,0.34,32.48
0.02,0.44,0.89,-0.56,0.12,0.2,32.48
0.01,0.43,0.88,-0.32,-0.03,-0.14,32.44
0.02,0.44,0.88,-0.11,-0.09,0.03,32.58
0.01,0.43,0.88,0.05,0.02,0.15,32.48
0.02,0.43,0.88,-0.26,0.24,0.35,32.53
0.02,0.43,0.88,-0.29,0.12,0.55,32.48
0.02,0.43,0.88,-0.06,0.23,0.73,32.58
0.02,0.44,0.88,0.43,0.23,0.64,32.53
0.01,0.44,0.88,0.85,0.24,0.72,32.58
0.01,0.44,0.89,1.15,0.67,0.5,32.53
-0.0,0.44,0.88,0.58,1.27,0.89,32.44
0.01,0.43,0.87,0.08,1.39,1.42,32.48
0.02,0.43,0.89,0.14,1.11,1.68,32.48
0.02,0.44,0.88,0.4,0.66,1.08,32.53
0.02,0.45,0.88,0.64,-0.73,0.4,32.58
0.01,0.45,0.88,1.68,-1.28,0.34,32.53
0.0,0.45,0.88,0.44,-0.58,0.93,32.48
-0.01,0.45,0.88,-0.72,0.69,2.27,32.58
0.01,0.43,0.89,-0.53,1.82,3.04,32.53
0.02,0.42,0.88,-0.21,2.67,2.66,32.48
0.03,0.41,0.89,-0.35,1.24,1.47,32.48
0.02,0.42,0.89,-0.61,0.44,0.84,32.53
0.02,0.44,0.89,-0.2,-0.69,0.63,32.48
0.03,0.45,0.88,0.26,-0.72,0.24,32.58
0.02,0.45,0.87,0.76,0.23,0.06,32.44
0.01,0.45,0.87,0.5,1.19,-0.46,32.58
0.0,0.43,0.88,0.05,1.88,-1.21,32.53
-0.01,0.43,0.88,0.26,3.01,-1.44,32.44
-0.0,0.44,0.89,0.34,1.39,-1.02,32.48
0.0,0.46,0.89,0.41,-0.06,-0.6,32.44
0.01,0.48,0.89,1.34,-1.86,-0.41,32.44
0.0,0.48,0.88,2.67,-1.98,0.11,32.58
-0.01,0.47,0.89,3.56,0.35,1.5,32.53
-0.01,0.46,0.88,3.63,3.24,3.69,32.48
0.0,0.44,0.88,2.31,4.49,5.34,32.39
0.01,0.43,0.87,0.61,3.44,5.59,32.53
0.02,0.42,0.86,-0.05,1.85,4.75,32.48
