acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.06,0.49,0.86,0.17,1.88,1.21,32.62
0.06,0.48,0.86,0.23,1.33,1.48,32.58
0.07,0.49,0.86,0.89,0.41,1.51,32.62
0.07,0.5,0.85,1.24,-0.6,1.21,32.67
0.07,0.51,0.84,1.73,-0.75,1.22,32.67
0.05,0.5,0.84,1.53,-0.52,1.48,32.72
0.05,0.5,0.85,-0.02,0.56,2.56,32.48
0.05,0.5,0.85,-0.24,1.98,3.73,32.62
0.07,0.48,0.86,-0.17,2.44,3.86,32.62
0.08,0.47,0.86,-0.21,2.08,2.63,32.58
0.07,0.48,0.85,-0.02,0.99,1.82,32.48
0.07,0.49,0.85,0.27,-0.89,1.3,32.48
0.07,0.5,0.85,0.17,-1.19,0.96,32.48
0.07,0.53,0.85,0.21,-0.17,1.15,32.62
0.08,0.51,0.84,-0.34,1.01,1.5,32.58
0.07,0.51,0.84,-0.87,1.42,1.21,32.58
0.07,0.49,0.85,-0.69,1.15,0.72,32.62
0.07,0.48,0.86,-0.27,0.37,0.12,32.67
0.07,0.48,0.85,-0.23,-0.72,-0.56,32.62
0.06,0.49,0.85,-0.06,-1.19,-0.56,32.62
0.06,0.49,0.85,0.23,-0.63,0.05,32.67
0.06,0.49,0.85,0.14,0.08,0.4,32.58
0.06,0.49,0.86,0.14,0.52,0.75,32.58
0.07,0.49,0.85,0.21,0.34,0.9,32.58
0.07,0.5,0.85,0.58,0.09,1.07,32.53
0.07,0.5,0.86,0.82,0.4,1.57,32.58
0.08,0.49,0.85,1.02,1.05,1.69,32.67
0.07,0.49,0.86,0.05,1.28,0.92,32.62
0.07,0.49,0.85,0.35,0.99,0.21,32.58
0.06,0.49,0.86,0.87,-0.05,0.35,32.53
0.06,0.51,0.85,0.24,-0.56,0.98,32.62
0.06,0.5,0.86,-0.14,-0.05,1.11,32.58
0.06,0.49,0.85,-1.07,1.63,0.79,32.67
0.06,0.49,0.85,-1.76,1.85,0.26,32.58
0.06,0.48,0.85,-2.02,0.76,0.09,32.58
0.07,0.48,0.85,-0.93,-0.58,-0.17,32.62
0.07,0.49,0.86,-0.18,-0.78,-0.06,32.58
0.07,0.51,0.85,-0.32,-0.27,0.15,32.48
0.07,0.51,0.84,-0.9,0.35,0.05,32.62
0.07,0.49,0.85,-0.82,0.72,0.2,32.58
0.06,0.49,0.85,-0.38,1.08,0.75,32.62
0.06,0.49,0.86,-0.15,0.99,1.11,32.62
0.06,0.48,0.86,-0.09,0.67,1.04,32.58
0.07,0.49,0.85,0.18,0.76,0.79,32.58
0.06,0.49,0.86,0.49,0.44,0.72,32.53
0.06,0.49,0.85,0.43,0.47,0.35,32.58
0.06,0.5,0.86,0.11,0.5,0.82,32.62
0.06,0.49,0.84,0.18,0.58,1.07,32.67
0.06,0.5,0.85,0.63,0.99,1.63,32.67
0.07,0.49,0.85,0.89,1.19,1.98,32.62
0.07,0.48,0.86,1.22,1.02,2.24,32.58
0.07,0.49,0.86,1.86,1.53,3.1,32.53
0.07,0.49,0.85,2.35,2.03,3.54,32.62
0.07,0.5,0.85,2.52,2.34,4.2,32.58
0.08,0.5,0.85,2.2,1.68,5.13,32.58
0.08,0.49,0.85,1.71,-0.02,6.15,32.58
0.08,0.5,0.85,1.71,-0.67,7.04,32.58
0.07,0.49,0.84,2.06,0.47,7.63,32.53
0.07,0.5,0.85,0.96,2.27,8.6,32.58
0.06,0.49,0.85,-0.21,3.53,10.14,32.58
0.06,0.49,0.85,-0.18,4.98,10.66,32.62
0.08,0.48,0.87,0.89,5.19,9.57,32.58
0.07,0.48,0.85,2.75,4.37,9.05,32.53
0.07,0.49,0.85,2.17,4.82,9.04,32.62
0.07,0.5,0.85,1.18,4.53,8.75,32.77
0.07,0.5,0.85,0.63,5.4,8.4,32.48
0.07,0.5,0.85,0.55,5.44,7.25,32.53
0.07,0.5,0.86,0.17,5.37,5.82,32.58
0.06,0.51,0.85,-0.4,4.79,5.95,32.62
0.08,0.49,0.85,-0.44,4.81,5.86,32.67
0.07,0.49,0.86,-0.58,5.22,4.44,32.58
0.06,0.5,0.87,-0.44,3.89,1.53,32.53
0.07,0.49,0.85,0.32,3.89,1.68,32.58
0.06,0.49,0.84,0.09,3.95,0.55,32.53
0.08,0.49,0.85,-0.44,3.59,-1.25,32.53
0.07,0.5,0.86,-1.56,3.83,-2.32,32.58
0.07,0.5,0.86,-2.05,2.29,-3.86,32.58
0.06,0.5,0.85,-1.01,1.33,-5.48,32.62
0.07,0.5,0.85,0.46,1.24,-5.57,32.58
0.06,0.5,0.85,0.92,0.76,-5.3,32.62
0.06,0.51,0.85,0.02,-0.32,-5.69,32.58
0.06,0.51,0.85,-0.5,0.43,-4.75,32.58
0.05,0.49,0.85,-0.11,0.61,-4.64,32.62
0.06,0.48,0.86,0.75,0.31,-5.21,32.58
0.06,0.48,0.85,2.32,-0.2,-5.08,32.53
0.07,0.47,0.85,3.36,1.05,-4.31,32.62
0.08,0.49,0.84,2.58,1.07,-4.32,32.58
0.06,0.49,0.85,2.98,2.06,-3.28,32.67
0.05,0.49,0.86,1.36,1.28,-2.67,32.67
0.05,0.49,0.85,0.37,1.07,-0.93,32.58
0.04,0.48,0.87,0.09,2.37,0.95,32.53
0.03,0.5,0.84,0.89,3.08,3.04,32.58
0.03,0.51,0.84,-0.81,1.88,4.64,32.67
0.03,0.53,0.8,-0.09,2.32,5.76,32.62
0.06,0.53,0.82,0.11,3.47,7.13,32.58
0.08,0.51,0.86,2.29,0.11,5.56,32.62
0.09,0.46,0.88,7.16,-1.34,3.76,32.62
0.09,0.45,0.88,9.19,-0.52,0.0,32.58
0.06,0.45,0.88,5.66,-1.4,-4.14,32.48
0.03,0.45,0.87,4.67,-3.04,-5.45,32.58
0.02,0.47,0.86,4.27,-1.48,-4.2,32.67
0.05,0.49,0.86,3.44,1.76,-2.37,32.53
0.05,0.52,0.85,-0.12,1.79,-4.75,32.58
0.05,0.5,0.85,0.17,1.59,-4.85,32.53
0.04,0.51,0.86,-1.27,-0.95,-6.64,32.62
0.05,0.5,0.82,-2.23,-3.44,-6.02,32.58
0.03,0.5,0.82,-4.0,-4.43,-5.63,32.72
0.03,0.48,0.84,-5.65,-3.65,-6.69,32.62
0.02,0.47,0.86,-3.86,-2.78,-6.08,32.67
0.07,0.5,0.85,-1.68,-0.49,-3.86,32.53
0.09,0.5,0.83,1.28,1.07,-1.27,32.67
0.1,0.47,0.85,1.88,1.39,0.2,32.67
0.08,0.46,0.86,2.93,-0.64,-1.1,32.53
0.07,0.5,0.84,1.15,0.55,-0.38,32.58
0.07,0.52,0.85,0.03,2.81,0.03,32.53
0.08,0.54,0.84,0.93,4.03,0.0,32.72
0.09,0.53,0.86,1.19,2.43,-2.6,32.67
0.06,0.51,0.86,1.77,0.02,-1.31,32.62
0.06,0.51,0.88,1.62,-0.56,-1.16,32.48
0.04,0.52,0.87,0.49,0.69,0.0,32.58
0.07,0.52,0.87,-1.63,6.29,0.18,32.62
