acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.44,0.88,0.15,-1.02,1.19,32.48
0.01,0.45,0.88,0.64,-1.51,0.93,32.44
0.01,0.46,0.87,0.53,-0.6,0.66,32.53
0.0,0.46,0.87,-0.21,1.25,1.16,32.58
0.01,0.45,0.87,-0.96,1.6,1.22,32.53
0.0,0.44,0.86,-1.53,0.37,0.87,32.53
0.01,0.44,0.88,-1.33,-0.27,-0.14,32.48
0.0,0.44,0.88,-0.46,-0.37,-0.95,32.53
-0.0,0.44,0.87,-0.5,-0.46,-1.19,32.39
-0.01,0.44,0.88,-0.9,-0.37,-0.85,32.58
-0.0,0.44,0.88,-0.79,-0.21,-0.58,32.53
-0.0,0.44,0.88,-0.93,0.08,0.08,32.48
-0.0,0.45,0.87,-0.7,0.29,0.26,32.44
0.0,0.45,0.88,-0.34,0.38,0.44,32.53
0.0,0.44,0.88,-0.29,0.29,0.7,32.39
0.01,0.43,0.88,-0.23,0.58,0.52,32.44
0.01,0.43,0.88,-0.96,0.05,-0.06,32.48
-0.0,0.43,0.88,-1.08,-0.05,-0.46,32.48
-0.01,0.44,0.88,-0.73,-0.35,-0.18,32.53
-0.0,0.45,0.88,-1.18,-0.6,0.43,32.48
0.0,0.45,0.88,-0.17,0.29,0.98,32.48
0.01,0.43,0.88,-1.04,0.9,0.69,32.44
-0.0,0.43,0.88,-2.2,0.78,-0.15,32.58
-0.0,0.43,0.87,-2.43,0.05,-0.2,32.34
-0.0,0.43,0.88,-2.0,-0.9,-0.18,32.53
0.0,0.44,0.88,-1.19,-0.96,-0.5,32.48
0.0,0.44,0.88,-0.75,-0.64,-0.46,32.53
-0.0,0.44,0.87,-0.87,-0.5,-0.47,32.58
0.01,0.43,0.88,-1.21,-0.11,-0.21,32.39
0.01,0.43,0.88,-1.02,0.06,-0.06,32.44
0.01,0.43,0.88,-0.75,0.82,-0.08,32.48
0.0,0.43,0.88,-0.17,0.75,0.17,32.48
0.0,0.43,0.88,-0.09,0.56,-0.15,32.53
0.0,0.43,0.88,-0.4,0.52,-0.03,32.48
-0.0,0.43,0.89,-0.4,0.02,-0.35,32.44
-0.01,0.43,0.88,-0.41,0.37,-0.17,32.44
-0.0,0.44,0.87,-0.38,0.21,0.11,32.39
0.0,0.44,0.88,-0.44,0.44,0.12,32.44
0.0,0.43,0.89,-0.17,0.29,0.18,32.48
0.0,0.43,0.87,-0.11,0.5,0.32,32.48
0.01,0.43,0.88,0.15,0.2,0.6,32.53
0.0,0.43,0.88,0.32,0.23,0.76,32.48
0.0,0.43,0.88,0.43,0.41,0.73,32.48
0.01,0.43,0.88,0.61,0.58,0.76,32.44
0.0,0.43,0.88,0.84,0.38,0.69,32.48
0.0,0.44,0.89,0.85,0.26,0.84,32.44
0.0,0.44,0.88,0.85,0.2,1.18,32.48
0.0,0.44,0.87,1.15,0.41,1.11,32.39
0.01,0.44,0.88,0.99,0.47,1.44,32.53
0.0,0.44,0.88,0.9,0.35,1.66,32.48
0.01,0.44,0.88,0.98,0.87,1.54,32.53
0.01,0.44,0.88,1.05,0.95,1.34,32.53
0.01,0.44,0.88,0.99,0.82,1.6,32.58
0.01,0.44,0.88,0.85,0.75,1.25,32.48
0.01,0.43,0.88,0.85,0.75,1.18,32.53
0.0,0.44,0.87,0.81,0.89,1.08,32.58
0.0,0.44,0.88,0.73,0.87,1.28,32.44
0.0,0.44,0.87,0.7,0.82,1.18,32.39
0.0,0.44,0.87,0.35,1.05,0.89,32.58
0.0,0.44,0.88,0.26,0.4,0.38,32.44
0.0,0.44,0.87,0.08,0.29,0.14,32.39
0.0,0.44,0.87,0.11,0.17,0.12,32.44
0.0,0.44,0.88,0.21,0.31,0.09,32.53
-0.0,0.44,0.88,-0.02,0.44,0.21,32.39
0.0,0.44,0.88,-0.12,0.2,0.26,32.48
0.01,0.44,0.87,-0.06,-0.06,0.34,32.48
0.0,0.43,0.88,0.29,-0.02,0.35,32.48
0.0,0.44,0.88,0.7,0.32,0.29,32.53
-0.01,0.44,0.88,1.36,1.05,0.64,32.58
-0.01,0.44,0.88,1.28,1.65,1.47,32.58
-0.0,0.44,0.88,0.95,1.54,1.88,32.44
0.0,0.43,0.88,1.28,0.81,1.77,32.58
0.0,0.44,0.88,0.75,-0.79,1.16,32.53
0.01,0.44,0.87,0.32,-1.82,0.89,32.53
-0.0,0.45,0.87,1.37,-0.98,1.25,32.48
-0.01,0.44,0.88,1.33,0.43,2.37,32.44
-0.0,0.44,0.87,1.47,2.35,4.11,32.48
0.01,0.43,0.87,1.85,2.96,4.7,32.48
0.02,0.42,0.87,1.8,2.72,2.75,32.44
0.01,0.43,0.88,1.44,1.89,1.34,32.58
0.01,0.44,0.88,1.8,0.78,1.07,32.44
0.02,0.45,0.88,0.27,-0.64,1.15,32.44
0.01,0.45,0.87,-1.13,-1.98,0.89,32.48
0.01,0.44,0.88,-1.56,-1.04,1.18,32.44
0.01,0.44,0.87,-0.81,0.53,1.28,32.44
0.01,0.44,0.89,0.23,1.27,0.79,32.39
0.01,0.43,0.88,0.9,1.16,-0.15,32.44
0.01,0.43,0.89,1.16,1.02,-0.53,32.48
0.01,0.44,0.89,0.56,-0.09,-0.53,32.48
0.0,0.44,0.88,-0.38,-0.82,-0.05,32.44
0.0,0.44,0.88,-0.76,-1.15,0.61,32.48
0.0,0.44,0.87,-0.76,-0.81,0.81,32.53
0.01,0.44,0.88,0.18,0.56,1.15,32.44
0.01,0.44,0.88,1.24,1.5,1.73,32.48
0.01,0.43,0.88,1.56,1.82,1.77,32.44
0.01,0.44,0.87,1.24,1.51,1.85,32.44
0.0,0.43,0.88,0.99,1.16,1.51,32.39
0.01,0.44,0.88,-0.58,-0.29,0.7,32.44
