acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.03,0.43,0.88,-0.09,-0.21,0.24,32.48
0.03,0.42,0.88,0.18,0.02,0.61,32.53
0.04,0.43,0.88,-0.17,-0.05,0.67,32.58
0.04,0.43,0.88,0.34,0.02,0.67,32.48
0.02,0.42,0.88,0.81,0.11,0.55,32.53
0.03,0.43,0.89,0.98,0.23,0.98,32.48
0.03,0.43,0.88,0.73,0.49,1.25,32.44
0.03,0.42,0.88,0.14,0.64,1.77,32.53
0.04,0.43,0.88,0.32,0.7,1.82,32.48
0.03,0.43,0.89,0.56,0.4,1.39,32.58
0.03,0.43,0.88,0.76,0.26,1.02,32.53
0.03,0.43,0.88,0.64,0.29,0.69,32.48
0.03,0.43,0.88,0.7,0.5,1.25,32.53
0.03,0.43,0.87,0.78,0.9,1.19,32.58
0.04,0.44,0.88,0.66,0.82,1.13,32.48
0.03,0.44,0.9,0.58,0.52,0.85,32.44
0.03,0.44,0.88,0.87,0.03,0.44,32.39
0.03,0.44,0.88,0.38,0.17,0.75,32.48
0.03,0.43,0.89,0.03,0.43,1.39,32.53
0.03,0.43,0.89,0.2,1.1,2.29,32.48
0.03,0.43,0.89,-0.5,1.4,2.67,32.58
0.03,0.43,0.88,-0.84,1.39,2.75,32.53
0.03,0.43,0.89,-0.69,0.95,2.08,32.48
0.03,0.43,0.89,-0.47,0.6,2.05,32.53
0.03,0.43,0.88,0.12,0.15,1.44,32.53
0.03,0.42,0.89,0.55,0.6,1.01,32.58
0.02,0.43,0.88,0.99,1.3,1.19,32.53
0.02,0.43,0.88,0.17,1.42,1.22,32.58
0.03,0.43,0.89,0.09,0.82,1.66,32.48
0.04,0.43,0.88,0.84,0.09,1.8,32.53
0.04,0.43,0.89,1.51,-0.55,1.6,32.48
0.04,0.44,0.88,2.09,-0.79,1.28,32.48
0.02,0.44,0.88,2.81,-0.93,1.02,32.53
0.0,0.44,0.88,1.1,0.15,1.86,32.48
0.01,0.44,0.88,0.09,0.64,3.18,32.44
0.03,0.42,0.89,0.81,1.63,3.73,32.44
0.04,0.4,0.89,1.42,2.76,3.36,32.48
0.04,0.42,0.88,1.83,2.17,2.44,32.53
0.04,0.43,0.89,1.62,1.1,1.92,32.62
0.04,0.45,0.9,1.07,-1.5,0.35,32.58
0.04,0.45,0.89,1.88,-0.38,0.66,32.53
0.05,0.46,0.88,2.76,1.86,1.66,32.48
0.04,0.45,0.88,1.34,2.34,2.47,32.39
0.04,0.43,0.88,0.5,2.4,2.12,32.53
0.03,0.43,0.88,1.34,2.11,1.54,32.48
0.03,0.42,0.89,2.37,2.89,2.11,32.48
0.02,0.43,0.89,3.01,3.42,4.18,32.53
0.03,0.42,0.88,4.79,7.44,8.0,32.48
0.06,0.43,0.9,8.08,11.76,10.03,32.53
0.06,0.45,0.89,11.1,10.47,8.99,32.62
0.06,0.44,0.89,12.43,7.71,6.93,32.48
0.03,0.45,0.88,11.36,2.27,1.95,32.44
0.01,0.45,0.87,10.66,-0.53,-0.87,32.58
0.0,0.44,0.87,8.34,0.72,-0.2,32.58
0.02,0.43,0.87,8.82,4.7,4.46,32.53
0.04,0.44,0.88,5.51,5.47,4.26,32.39
0.03,0.46,0.88,4.31,1.42,1.74,32.53
0.02,0.46,0.88,3.79,-3.11,-0.15,32.44
0.01,0.47,0.87,3.39,-3.77,-0.43,32.48
0.01,0.47,0.88,1.21,-2.11,-1.71,32.44
0.01,0.45,0.89,-1.5,0.9,-2.87,32.53
0.01,0.43,0.87,-1.82,1.34,-2.63,32.58
0.01,0.43,0.88,-1.8,-0.7,-2.23,32.44
0.02,0.44,0.86,-1.39,-1.85,-1.21,32.48
0.03,0.45,0.88,-1.39,-1.44,-0.4,32.58
0.04,0.46,0.88,-2.11,-0.2,-0.58,32.53
0.03,0.45,0.88,-1.54,0.06,-2.27,32.48
0.03,0.44,0.87,-0.6,0.61,-2.78,32.48
0.03,0.44,0.88,-0.55,0.66,-2.35,32.53
0.03,0.43,0.87,-0.85,0.75,-1.59,32.48
0.03,0.45,0.88,-1.94,1.24,-1.21,32.44
0.03,0.46,0.87,-1.47,0.92,-0.63,32.53
0.01,0.45,0.88,-0.49,0.95,-0.24,32.39
0.03,0.44,0.87,-0.02,1.53,0.03,32.53
0.01,0.44,0.89,-1.48,2.06,-0.67,32.48
0.03,0.45,0.87,-1.95,2.56,0.14,32.58
0.03,0.45,0.87,-1.86,3.01,0.79,32.44
0.05,0.46,0.88,-2.17,3.25,1.07,32.48
0.05,0.43,0.88,-0.14,2.89,1.92,32.39
0.02,0.44,0.87,-0.11,3.45,2.27,32.53
0.03,0.43,0.87,-0.58,4.38,2.87,32.48
0.02,0.44,0.87,-0.58,4.41,3.57,32.44
0.04,0.45,0.87,-0.76,5.01,4.64,32.53
0.02,0.45,0.89,-1.16,3.89,2.14,32.58
0.01,0.44,0.87,0.38,2.43,-0.4,32.53
0.01,0.44,0.87,-0.03,3.07,-0.09,32.48
0.01,0.45,0.88,-1.53,3.74,1.19,32.48
0.03,0.45,0.86,-1.89,4.35,2.44,32.44
0.04,0.47,0.88,-2.95,4.29,3.51,32.48
0.03,0.45,0.88,-1.62,2.31,2.76,32.48
0.02,0.45,0.88,-0.85,1.27,1.3,32.44
0.02,0.44,0.89,-1.28,1.22,1.71,32.48
0.03,0.44,0.87,-2.05,2.2,2.52,32.53
0.02,0.44,0.88,-2.81,3.07,1.22,32.53
0.02,0.43,0.89,-1.53,2.79,1.68,32.48
0.02,0.45,0.88,-1.37,2.58,3.02,32.53
0.03,0.44,0.87,-1.22,2.4,2.92,32.48
0.04,0.43,0.88,-1.83,1.8,2.95,32.58
0.02,0.44,0.87,-3.27,0.58,2.43,32.44
0.02,0.42,0.86,-3.68,0.46,3.59,32.39
0.02,0.44,0.88,-4.23,1.21,4.26,32.48
0.04,0.43,0.88,-3.48,1.04,4.31,32.44
0.03,0.44,0.88,-2.75,0.87,4.18,32.48
0.02,0.44,0.88,-2.85,0.76,4.61,32.53
0.01,0.44,0.89,-4.52,0.5,4.5,32.62
0.02,0.44,0.88,-5.08,0.84,4.08,32.48
0.02,0.44,0.87,-4.02,1.19,4.23,32.53
0.02,0.43,0.89,-2.82,1.02,4.15,32.58
0.03,0.43,0.88,-1.76,0.7,4.52,32.58
0.03,0.44,0.87,-1.36,-0.82,3.77,32.53
0.03,0.44,0.88,-2.64,-1.73,3.31,32.58
0.04,0.44,0.9,-3.53,-2.17,2.9,32.58
0.01,0.44,0.9,-3.47,-2.79,1.82,32.53
0.01,0.43,0.88,-2.11,-0.34,3.07,32.58
0.02,0.42,0.88,-2.21,1.91,4.53,32.53
0.01,0.4,0.89,-3.05,1.94,3.63,32.53
0.02,0.4,0.89,-2.05,3.57,4.4,32.48
0.03,0.41,0.88,-1.76,4.32,4.99,32.53
0.02,0.44,0.87,-1.36,3.92,5.45,32.48
0.04,0.46,0.89,-2.21,3.83,6.41,32.48
0.04,0.46,0.88,-1.86,2.73,5.4,32.53
0.03,0.45,0.9,-2.49,1.83,4.7,32.48
0.02,0.43,0.88,-2.14,0.44,2.43,32.44
0.01,0.41,0.88,-1.56,0.64,1.22,32.44
0.02,0.41,0.89,-1.24,1.34,0.92,32.48
0.04,0.42,0.88,-1.83,2.17,1.08,32.53
0.03,0.43,0.88,-2.15,2.12,1.8,32.53
0.02,0.42,0.89,-2.47,0.81,2.09,32.48
0.02,0.42,0.89,-2.21,0.5,1.95,32.62
0.03,0.43,0.89,-1.44,1.13,1.62,32.48
0.02,0.43,0.89,-1.15,1.89,0.85,32.39
0.01,0.42,0.9,-1.4,2.98,0.99,32.62
0.03,0.42,0.89,-1.21,3.07,1.53,32.58
0.01,0.41,0.9,-2.09,1.63,1.76,32.44
0.0,0.41,0.92,-3.3,1.04,-0.44,32.44
-0.03,0.41,0.93,-4.81,-2.02,-4.37,32.58
-0.05,0.39,0.9,-1.31,-4.67,-4.96,32.53
-0.02,0.42,0.9,-3.83,-2.67,-1.53,32.48
0.03,0.43,0.89,-3.8,-0.76,1.95,32.58
0.06,0.45,0.89,-4.9,1.02,2.43,32.53
0.07,0.43,0.9,-4.37,1.13,0.63,32.48
0.07,0.42,0.88,-3.24,0.26,-1.1,32.58
0.06,0.42,0.88,-2.29,0.64,-1.47,32.44
0.04,0.42,0.88,-1.25,1.51,-1.1,32.48
0.03,0.23,0.74,12.35,2.67,4.61,32.53
0.02,0.41,0.92,0.6,3.88,1.42,32.44
0.03,0.43,0.87,1.13,0.18,1.63,32.48
0.03,0.42,0.88,-0.55,0.7,2.44,32.53
0.03,0.41,0.89,1.85,1.31,2.75,32.48
0.03,0.42,0.89,3.1,1.18,1.4,32.48
0.03,0.41,0.88,2.35,1.95,1.66,32.44
0.02,0.41,0.89,0.56,1.48,2.02,32.48
0.02,0.41,0.89,0.12,1.22,2.09,32.48
0.01,0.42,0.89,1.73,1.24,1.51,32.53
0.0,0.42,0.89,1.97,1.05,1.51,32.39
0.01,0.42,0.89,0.9,1.21,2.9,32.53
0.02,0.42,0.89,0.29,1.63,3.74,32.58
0.02,0.42,0.89,0.73,1.76,3.98,32.48
0.03,0.43,0.89,0.98,1.48,5.25,32.53
0.03,0.43,0.91,-1.04,0.34,5.68,32.58
0.03,0.44,0.92,-4.34,-0.7,6.34,32.53
0.04,0.42,0.91,-5.28,0.61,7.68,32.53
0.03,0.41,0.89,-4.09,3.28,9.39,32.48
0.01,0.41,0.9,-3.11,4.67,10.21,32.44
0.02,0.43,0.89,-3.51,3.95,9.37,32.58
0.01,0.42,0.9,-5.39,3.4,7.07,32.48
