acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.05,0.48,0.85,-0.14,2.41,3.54,32.58
0.05,0.47,0.85,0.31,2.15,2.37,32.58
0.05,0.5,0.85,0.05,0.18,1.3,32.53
0.05,0.51,0.84,0.35,-1.53,1.01,32.48
0.05,0.52,0.84,0.53,-1.62,0.9,32.44
0.05,0.52,0.85,0.75,-0.2,0.98,32.48
0.05,0.52,0.84,0.05,0.99,1.47,32.48
0.05,0.51,0.85,-0.78,1.44,1.08,32.53
0.05,0.49,0.84,-0.84,0.85,0.31,32.48
0.04,0.49,0.84,0.05,-0.06,-0.31,32.44
0.04,0.5,0.85,0.32,-0.63,-0.32,32.53
0.04,0.49,0.84,0.24,-0.56,-0.06,32.48
0.04,0.5,0.84,-0.34,-0.35,0.02,32.58
0.04,0.5,0.84,-0.38,0.23,0.24,32.53
0.05,0.5,0.85,0.12,0.52,0.72,32.48
0.04,0.5,0.85,0.73,0.41,1.01,32.53
0.05,0.5,0.85,0.58,-0.03,1.11,32.48
0.04,0.51,0.85,0.37,-0.17,1.08,32.48
0.05,0.49,0.86,0.85,0.73,1.45,32.44
0.05,0.49,0.84,0.34,1.47,1.45,32.58
0.05,0.5,0.85,1.18,1.27,1.04,32.48
0.03,0.51,0.85,-0.53,-0.11,0.56,32.62
0.03,0.51,0.85,0.64,-0.99,1.22,32.48
0.05,0.5,0.84,1.07,0.78,1.62,32.58
0.05,0.5,0.84,0.08,2.18,0.9,32.53
0.04,0.49,0.85,-1.69,1.25,0.24,32.58
0.03,0.49,0.84,-2.35,-0.78,-0.23,32.44
0.04,0.5,0.85,-0.93,-1.3,-0.23,32.53
0.05,0.51,0.84,0.47,-0.64,0.15,32.58
0.06,0.51,0.84,-0.26,-0.26,0.05,32.53
0.05,0.51,0.84,-1.11,0.12,0.05,32.58
0.04,0.49,0.84,-0.81,0.2,0.06,32.58
0.05,0.48,0.84,0.06,0.76,0.55,32.53
0.04,0.49,0.84,0.06,1.28,0.99,32.58
0.04,0.5,0.85,-0.35,1.22,1.05,32.48
0.04,0.49,0.85,-0.34,0.89,0.84,32.44
0.04,0.49,0.85,0.34,0.27,0.72,32.48
0.05,0.5,0.84,0.49,0.03,0.55,32.62
0.05,0.5,0.85,-0.2,0.03,0.46,32.53
0.04,0.5,0.85,-0.26,0.53,0.67,32.58
0.05,0.5,0.84,0.03,1.07,1.1,32.53
0.05,0.5,0.85,0.06,0.78,0.92,32.44
0.05,0.49,0.85,-0.11,0.27,0.55,32.48
0.04,0.49,0.85,0.2,0.06,0.64,32.53
0.05,0.5,0.85,0.26,-0.14,0.72,32.62
0.05,0.5,0.85,0.2,-0.06,0.55,32.58
0.04,0.5,0.85,0.44,-0.21,0.44,32.53
0.05,0.51,0.85,0.64,0.31,1.13,32.58
0.04,0.49,0.84,0.52,0.31,1.3,32.48
0.05,0.5,0.84,0.58,0.64,1.48,32.53
0.05,0.5,0.84,0.52,0.78,1.56,32.58
0.04,0.5,0.84,0.61,0.76,1.65,32.48
0.04,0.49,0.85,0.52,0.69,1.68,32.44
0.05,0.5,0.85,0.55,0.64,1.63,32.48
0.05,0.5,0.84,0.38,0.76,1.19,32.53
0.05,0.5,0.85,0.56,0.87,1.27,32.53
0.04,0.5,0.84,0.52,1.02,1.54,32.48
0.05,0.5,0.85,0.37,1.1,1.22,32.48
0.05,0.51,0.84,0.18,0.46,0.99,32.44
0.05,0.51,0.84,0.17,0.38,0.63,32.48
0.05,0.51,0.85,0.2,0.27,0.49,32.44
0.05,0.5,0.85,0.03,0.43,0.41,32.48
0.05,0.5,0.84,-0.26,0.34,0.43,32.58
0.05,0.5,0.84,-0.24,0.09,0.23,32.62
0.05,0.5,0.85,-0.12,-0.21,0.21,32.48
0.05,0.5,0.84,-0.17,-0.14,0.44,32.58
0.05,0.49,0.85,-0.06,0.15,0.56,32.53
0.05,0.49,0.85,-0.34,0.49,0.55,32.58
0.06,0.5,0.85,-0.49,0.56,0.58,32.58
0.05,0.49,0.84,-0.17,0.02,0.96,32.53
0.05,0.5,0.85,0.4,0.03,1.07,32.48
0.05,0.5,0.85,0.61,0.29,0.78,32.53
0.04,0.51,0.84,0.99,0.73,0.47,32.53
0.04,0.49,0.85,0.43,1.08,1.25,32.58
0.05,0.5,0.85,-0.14,0.76,1.77,32.44
0.05,0.49,0.85,0.18,0.46,1.31,32.48
0.05,0.5,0.85,0.43,-0.11,0.78,32.48
