acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.03,0.19,1.01,15.83,25.60,-2.72
0.03,0.19,1.01,15.71,25.62,-2.67
0.04,0.19,1.01,15.95,25.68,-2.81
0.03,0.19,1.01,15.83,25.89,-2.82
0.03,0.19,1.02,15.74,25.65,-2.90
0.03,0.20,1.01,15.95,25.83,-2.67
0.03,0.20,1.01,15.88,25.69,-2.69
0.02,0.19,1.01,15.85,25.98,-2.79
0.03,0.19,1.02,15.97,25.60,-2.55
0.03,0.19,1.01,15.98,25.51,-2.78
0.03,0.19,1.01,16.02,26.15,-2.84
0.03,0.19,1.01,15.82,25.73,-2.70
0.03,0.19,1.01,15.86,25.71,-3.05
0.03,0.19,1.01,16.11,25.77,-2.81
0.03,0.18,1.01,16.08,25.60,-2.90
0.03,0.19,1.01,15.91,25.86,-2.96
0.04,0.19,1.01,15.85,25.82,-2.90
0.03,0.19,1.02,15.97,25.94,-2.76
0.03,0.19,1.02,15.66,25.66,-2.85
0.03,0.19,1.01,15.95,25.71,-2.84
0.04,0.20,1.02,16.00,25.83,-2.79
0.02,0.20,1.01,15.82,26.08,-2.78
0.03,0.19,1.01,15.91,25.83,-2.96
0.02,0.19,1.02,15.92,25.94,-2.76
0.03,0.19,1.01,15.80,25.76,-2.60
0.03,0.19,1.01,15.94,25.71,-2.76
0.03,0.19,1.01,15.86,25.91,-2.61
0.03,0.19,1.02,15.95,25.79,-2.70
0.03,0.19,1.01,15.79,25.80,-2.76
0.04,0.19,1.01,15.88,25.86,-2.49
0.04,0.18,1.02,15.95,25.56,-2.89
0.03,0.19,1.01,15.88,25.73,-2.76
0.04,0.19,1.01,15.98,25.91,-2.70
0.04,0.19,1.02,15.77,25.73,-3.02
0.03,0.20,1.02,15.68,25.82,-2.70
0.03,0.19,1.01,16.00,25.97,-2.89
0.03,0.19,1.02,16.11,25.71,-2.85
0.03,0.20,1.02,15.79,25.82,-2.76
0.04,0.20,1.02,15.85,25.63,-2.93
0.03,0.19,1.01,15.94,25.59,-2.95
